LINC01305,1.234784173,1.147253577,0.869430567,1.289173499,NA,NA,NA
LOC375196,0.725162549,0.699322862,0.09769992,0.831205897,NA,NA,NA
PTPRG-AS1,0.613906741,0.620206215,0.18995026,0.782663414,NA,NA,NA
RP11-472K17.3,0.923678495,0.84358706,0.217878705,NA,NA,NA,NA
TTTY15,0.734105497,0.738642681,0.447048655,0.355851158,NA,NA,NA
AATBC,0.206926781,0.159716906,0.633966933,0.261091631,NA,NA,NA
AC002064.5,NA,NA,NA,NA,0.113205623,0.699660603,NA
AC005083.1,0.231648772,0.306555001,0.363865701,-0.296906653,0.910846269,NA,NA
AC073321.4,NA,0.028035036,NA,NA,0.616135279,NA,NA
AC079767.4,NA,NA,0.679321079,NA,NA,NA,NA
AC093323.3,0.057788496,0.044306494,0.732097696,NA,NA,NA,0.088336082
AP000251.3,0.189686628,0.183463494,0.621839429,NA,NA,NA,NA
ASB16-AS1,NA,NA,0.700850449,NA,NA,NA,NA
ATP6V0E2-AS1,0.411916227,0.349147523,0.297790773,NA,NA,2.216239006,NA
C5orf66-AS1,0.373616726,0.489708355,1.218688047,NA,NA,NA,NA
CDKN2B-AS1,0.428048142,0.375319663,0.398077973,0.771810275,NA,NA,NA
CECR7,0.229129325,0.166701868,0.616762485,0.138506385,NA,NA,NA
CRHR1-IT1,0.104406478,NA,NA,NA,NA,1.213146708,0.068550817
DUXAP8,NA,NA,NA,0.904479873,NA,NA,NA
EPB41L4A-AS1,NA,NA,0.677758695,NA,NA,NA,NA
FOXD3-AS1,NA,NA,0.852724238,NA,NA,NA,NA
FUT8-AS1,NA,NA,NA,NA,NA,1.252254739,NA
LINC00342,0.243253717,0.172095971,0.895292226,NA,NA,NA,NA
LINC00520,-0.481388524,-0.419672971,NA,0.642826141,NA,NA,NA
LINC00563,NA,NA,0.022646054,NA,NA,1.068457918,NA
LINC00702,-0.433248082,-0.473279086,-0.190603518,NA,NA,0.632210827,NA
LINC00839,0.40874167,0.416722924,0.719699355,0.571786985,NA,NA,NA
LINC00847,0.060972985,NA,0.595046969,NA,NA,NA,NA
LINC00969,NA,NA,0.584205131,-0.111990734,NA,NA,NA
LINC01139,0.141292525,0.169968715,1.077506502,NA,NA,NA,NA
LINC01169,NA,NA,0.051333974,NA,0.632447532,NA,NA
LINC01315,0.30513059,0.295923541,0.883732514,NA,0.10831032,NA,0.259445511
LINC01560,NA,NA,0.086962959,NA,NA,1.176316928,0.079945547
LINC01578,NA,NA,0.784176422,NA,NA,NA,NA
LOC105373383,NA,NA,0.626059424,NA,NA,NA,NA
MAPT-AS1,0.423664371,0.637637763,NA,-0.357288825,NA,NA,NA
MFI2-AS1,0.177886775,0.130393727,0.8577992,0.211216152,NA,NA,NA
MIR600HG,0.452708446,0.390098031,0.410964447,NA,NA,1.062782613,0.101811832
MIR9-3HG,0.416866452,0.443821219,1.38302341,0.386243222,NA,NA,NA
OSER1-AS1,NA,NA,0.742151899,NA,NA,NA,NA
PART1,NA,NA,0.727162696,NA,NA,NA,NA
PP7080,NA,NA,0.591561362,NA,-0.132356044,0.413700027,NA
PRCAT47,NA,NA,NA,NA,0.771935546,NA,NA
PRKAG2-AS1,0.181085894,0.160669326,0.632186682,NA,NA,NA,NA
PTOV1-AS1,0.163904333,0.160808225,0.714317737,0.31998625,NA,NA,NA
PTOV1-AS2,0.060073749,NA,0.611365426,NA,NA,NA,0.063152264
RHPN1-AS1,0.351105462,0.310337304,0.204411691,0.602035358,NA,NA,NA
RP11-108M9.4,NA,NA,0.609754904,NA,NA,NA,NA
RP11-111M22.3,-0.052736656,-0.039062636,0.58112279,NA,NA,NA,NA
RP11-135F9.3,0.099163212,0.097316876,0.383283685,NA,NA,1.214797252,NA
RP11-138I18.1,NA,NA,0.589629454,NA,NA,NA,NA
RP11-168K11.5,-0.216978774,-0.137909887,NA,NA,NA,0.979248603,NA
RP11-258C19.7,NA,NA,0.660820889,NA,NA,NA,NA
RP11-264J4.10,NA,NA,0.039749763,NA,0.597621982,NA,NA
RP11-285F7.2,-0.104217499,NA,0.638907205,-0.111322643,NA,NA,NA
RP11-348N5.7,0.075774944,NA,0.053286797,NA,NA,0.956491432,0.048676485
RP11-44F21.5,0.25264409,0.201934609,0.821865306,NA,NA,NA,NA
RP11-452F19.3,NA,NA,0.61355245,NA,NA,NA,NA
RP11-465B22.8,NA,NA,0.696719733,NA,NA,NA,NA
RP11-488L18.10,NA,NA,0.604933281,NA,NA,NA,NA
RP11-489E7.4,NA,NA,0.602833726,NA,NA,NA,NA
RP11-532F12.5,-0.051503803,-0.042134414,0.587628863,NA,NA,NA,NA
RP11-635N19.1,NA,NA,0.765511215,NA,NA,NA,NA
RP11-715J22.2,0.435533459,0.435982918,0.011340311,0.675023581,NA,NA,NA
RP11-79P5.9,NA,NA,0.179875246,NA,NA,0.7715939,0.061996294
RP11-863P13.3,NA,NA,-0.542170688,0.659649046,NA,NA,NA
RP11-95C14.1,NA,NA,0.037143987,NA,0.581351694,NA,NA
RP4-647J21.1,NA,NA,NA,NA,0.388108256,1.279943103,0.043168692
SNHG6,0.051820296,NA,0.757527996,NA,NA,NA,NA
THAP9-AS1,0.120571598,NA,0.757123583,NA,NA,NA,NA
TMPO-AS1,0.262767175,0.25510622,1.339507029,0.303502945,NA,NA,NA
TTTY14,0.387467534,0.402114688,0.283424748,NA,NA,0.872745707,NA
UNC5B-AS1,NA,NA,0.82930254,NA,NA,NA,NA
WFDC21P,0.14766793,0.197059492,1.793758976,NA,NA,NA,NA
ZNF667-AS1,0.291454142,0.230326239,0.810121762,NA,NA,NA,NA
AC002059.10,-0.150969031,-0.164484653,NA,NA,NA,NA,NA
AC002310.12,NA,NA,0.351621337,NA,NA,NA,NA
AC002310.7,0.227310739,0.208787911,0.113641296,NA,NA,NA,NA
AC003075.4,-0.102039111,-0.092822485,NA,-0.109584505,NA,NA,NA
AC003973.4,NA,NA,NA,NA,0.178258863,NA,NA
AC004076.5,NA,NA,0.17235756,NA,NA,NA,NA
AC004237.1,NA,NA,NA,NA,0.126740099,NA,NA
AC004538.3,NA,NA,-0.033638592,NA,NA,NA,NA
AC004623.3,0.127207421,0.128129532,0.00546319,NA,NA,NA,NA
AC004906.3,NA,NA,0.01044264,NA,NA,NA,NA
AC004951.6,NA,NA,0.172295001,NA,NA,NA,NA
AC005062.2,0.114922779,NA,0.076491994,-0.266228026,NA,NA,NA
AC005076.5,NA,NA,0.211978841,NA,NA,NA,NA
AC005154.6,0.101522673,NA,0.111427723,NA,NA,NA,NA
AC005224.2,NA,NA,0.048166568,NA,NA,NA,NA
AC005306.3,0.196610502,0.169967746,0.350954961,NA,NA,NA,NA
AC005355.3,NA,NA,0.135599709,NA,0.125887085,NA,NA
AC005498.3,NA,NA,0.035434786,NA,NA,NA,NA
AC005522.7,NA,NA,NA,NA,-0.160460834,NA,NA
AC005523.2,NA,NA,0.576976757,NA,NA,NA,NA
AC005523.3,NA,NA,0.081977163,NA,NA,NA,NA
AC005537.2,NA,NA,0.187997736,NA,NA,NA,NA
AC005538.3,NA,NA,0.379376665,NA,NA,NA,NA
AC005616.1,NA,NA,NA,-0.280190167,NA,NA,NA
AC005682.5,0.057365861,NA,-0.453142168,NA,NA,NA,NA
AC005754.7,NA,NA,0.010690385,NA,NA,NA,NA
AC005772.2,-0.123647636,NA,NA,NA,0.107816572,NA,NA
AC005785.2,NA,NA,0.13011866,NA,NA,NA,NA
AC006050.2,-0.325265415,-0.259768122,NA,0.224507379,NA,NA,NA
AC006077.3,NA,NA,0.050893065,NA,NA,NA,NA
AC006129.2,NA,NA,0.291206223,NA,NA,NA,NA
AC006840.1,NA,NA,0.149036674,NA,NA,NA,NA
AC007009.1,NA,NA,0.179700392,0.03105479,NA,NA,NA
