LOC101928710,0.75670054,0.860133832,0.063158441,0.6431642,0.78056219,NA,NA,0.697303298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.047576536,-0.386861923,-0.055284045,LOC101928710
DUXAP8,0.865872167,0.922832095,0.065937511,NA,NA,0.904479873,0.788018588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.021320076,DUXAP8
LCAL1,1.214850431,1.35625291,NA,0.45901212,NA,0.533785916,0.876649201,0.683893765,NA,NA,NA,NA,NA,-0.148111197,-0.087454208,NA,-0.030007112,NA,NA,NA,NA,NA,-0.048497771,LCAL1
LINC00520,1.257047717,1.167160119,NA,0.420447145,-0.69379512,0.642826141,NA,0.72305077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.026968946,LINC00520
RP11-863P13.3,0.904335025,0.920744339,NA,NA,NA,0.659649046,0.681758765,0.507297245,0.183846243,NA,NA,NA,NA,NA,0.081101886,NA,NA,NA,NA,NA,NA,NA,NA,RP11-863P13.3
AC108676.1,0.890877806,1.05548483,NA,0.277792629,NA,NA,NA,0.761469067,NA,NA,NA,NA,NA,-0.193357332,NA,NA,0.039820072,NA,NA,NA,-0.057104895,NA,-0.048869326,AC108676.1
FLJ27354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.829152397,0.684297186,NA,0.452132306,NA,NA,NA,0.245599577,0.660472642,0.312132137,FLJ27354
DIAPH2-AS1,NA,-0.050540747,NA,NA,NA,NA,NA,NA,NA,-0.136053216,NA,0.01739751,0.062473833,0.720025342,0.757423767,NA,0.31999354,NA,NA,NA,NA,NA,0.267526058,DIAPH2-AS1
DLX6-AS1,0.52383142,0.622531426,NA,NA,NA,0.541431073,0.6033476,0.546491548,NA,NA,NA,NA,NA,NA,-0.037546066,NA,NA,NA,NA,NA,NA,NA,NA,DLX6-AS1
FAM225B,0.562929626,0.60003834,NA,NA,NA,0.50041142,0.593008257,0.323950305,0.081667974,NA,NA,NA,NA,NA,0.021109957,NA,NA,NA,NA,NA,NA,NA,NA,FAM225B
HOTAIR,0.224967969,0.243903746,NA,NA,0.252862346,NA,NA,0.668752571,NA,NA,NA,NA,NA,NA,NA,NA,-0.050318772,NA,NA,2.184332374,NA,NA,NA,HOTAIR
HOXA11-AS,0.455806092,0.550391648,NA,0.264891902,0.832535554,0.331306003,0.422909023,0.705070139,NA,NA,NA,NA,NA,0.113713804,0.155719259,NA,0.053269871,NA,NA,NA,0.067811683,NA,0.04485947,HOXA11-AS
LINC00460,0.596798912,0.61787967,-0.085164411,NA,0.353916454,NA,NA,0.441884123,NA,NA,NA,NA,NA,0.083441935,0.038594595,NA,NA,NA,NA,NA,NA,NA,0.055711305,LINC00460
LINC01468,0.736819469,0.859069921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.048586161,NA,0.053829876,NA,NA,NA,NA,NA,-0.037872384,LINC01468
LINC01620,NA,NA,0.107397713,NA,0.758839474,NA,NA,0.947727442,NA,NA,NA,NA,NA,-0.079637486,NA,NA,NA,NA,NA,NA,NA,NA,NA,LINC01620
LOC100506895,0.96510406,1.079475687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.039176428,NA,NA,NA,NA,NA,NA,NA,NA,LOC100506895
LOC440173,0.73601642,0.830787958,NA,0.213850441,0.486624094,NA,NA,0.237470201,NA,NA,NA,NA,NA,-0.230530408,NA,NA,NA,NA,NA,NA,NA,NA,-0.095399777,LOC440173
MIR31HG,0.740323065,0.808915492,NA,0.414072795,NA,0.373657119,NA,NA,NA,NA,NA,NA,NA,NA,-0.035658168,NA,-0.062088588,NA,NA,NA,-0.074678347,NA,NA,MIR31HG
RP11-443C10.1,0.702512251,0.679359783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03670271,NA,NA,NA,NA,NA,NA,NA,-0.036464442,RP11-443C10.1
RP11-521D12.1,0.591619162,0.552073989,NA,NA,NA,NA,0.789104158,NA,NA,NA,NA,NA,NA,NA,-0.026759308,NA,NA,NA,NA,NA,-0.038952348,NA,-0.038583877,RP11-521D12.1
RP11-76C10.6,NA,0.648515445,NA,NA,NA,NA,NA,0.581904383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RP11-76C10.6
AC007128.1,0.473696754,0.624173853,NA,NA,NA,0.57338178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AC007128.1
AC092162.1,-0.172234088,NA,NA,NA,0.435546756,NA,NA,0.620612513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AC092162.1
AC108142.1,0.536432411,0.692666702,NA,0.161450047,NA,0.47819971,NA,0.186340585,NA,NA,NA,NA,NA,NA,0.026832173,NA,0.042770095,NA,NA,NA,NA,NA,NA,AC108142.1
BREA2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.983541042,NA,NA,-0.029702032,BREA2
CDKN2B-AS1,0.34896965,0.406269345,NA,NA,NA,0.771810275,0.368852614,-0.08875409,NA,0.031529661,-0.059581539,-0.012323547,-0.046976764,NA,NA,NA,NA,NA,0.03219353,NA,0.02445746,NA,-0.022165517,CDKN2B-AS1
CTB-160O22.1,NA,NA,NA,NA,0.623140174,NA,NA,0.570742759,NA,NA,NA,NA,NA,NA,NA,NA,0.030826636,NA,NA,NA,NA,NA,NA,CTB-160O22.1
DLEU2,NA,NA,NA,NA,0.403667684,0.207574363,NA,0.181322142,NA,NA,-0.044582991,NA,-0.039237784,0.092123903,0.073261507,NA,0.042284184,NA,NA,1.030961315,NA,NA,0.058290072,DLEU2
DLGAP1-AS1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.099879041,NA,-0.055938409,NA,NA,NA,NA,0.740042297,NA,DLGAP1-AS1
